rank,title,director,year,rating,quote
85,致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,孪生蝙蝠侠大战克隆金刚狼。
86,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,
87,哈利·波特与密室,Chris Columbus,2002,8.9,
88,一一,杨德昌 Edward Yang,2000,9.1,
89,超脱,托尼·凯耶 Tony Kaye,2011,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。
90,喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,
91,致命ID,詹姆斯·曼高德 James Mangold,2003,8.9,
92,杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,
93,摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,
94,加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,
95,春光乍泄,王家卫 Kar Wai Wong,1997,9.0,
96,海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,海豚的微笑，是世界上最高明的伪装。
97,美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.1,
98,七宗罪,大卫·芬奇 David Fincher,1995,8.8,
99,红辣椒,今敏 Satoshi Kon,2006,9.0,梦的勾结。
100,唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.8,
101,狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,人言可畏。
102,幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,
103,寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,
104,甜蜜蜜,陈可辛 Peter Chan,1996,8.9,
105,天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983,9.2,
106,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.9,诺兰就是保证。
107,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.8,Balalala~~~
108,茶馆,谢添 Tian Xie,1982,9.5,
109,7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,《我是山姆》的《美丽人生》。
110,第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,
111,爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,
113,头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,8.9,愿我们都不用长大，每一座城堡都能永远存在。
114,哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.8,
115,未麻的部屋,今敏 Satoshi Kon,1997,9.1,
116,被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.8,以戏谑来戏谑戏谑。
117,重庆森林,王家卫 Kar Wai Wong,1994,8.8,
118,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,曾经的那段美好会沉淀为一辈子的记忆。
119,菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,
120,入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
121,剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,
122,断背山,李安 Ang Lee,2005,8.8,每个人心中都有一座断背山。
123,勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,
124,时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,跨度十五年的欢乐与泪水。
126,傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,爱是摈弃傲慢与偏见之后的曙光。
127,驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.8,和谐的生活离不开摸头与被摸头。
128,消失的爱人,大卫·芬奇 David Fincher,2014,8.7,年度最佳date movie。
129,无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,我的平常生活就是他人的幸福。
130,新世界,朴勋政 Hoon-jung Park,2013,8.9,要做就做得狠一点，这样才能活下去。
131,倩女幽魂,程小东 Siu-Tung Ching,1987,8.8,
132,花样年华,王家卫 Kar Wai Wong,2000,8.8,
133,一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,惠及一生的美丽。
134,色，戒,李安 Ang Lee,2007,8.7,假戏真情，爱欲深海
135,完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,
136,怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.8,
137,教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,
138,小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
139,天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,
140,阳光灿烂的日子,姜文 Wen Jiang,1994,8.8,
141,九品芝麻官,王晶 Jing Wong,1994,8.8,
142,哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.2,
143,侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,
144,被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,有时候幸福需要等一等。
146,请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.8,沉醉在电影的情感和视听氛围中无法自拔。
147,釜山行,延尚昊 Sang-ho Yeon,2016,8.6,揭露人性的丧尸题材力作。
148,神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.7,Mr. I Don't Care其实也有Care的时候。
149,小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
150,喜宴,李安 Ang Lee,1993,9.0,
151,萤火之森,大森贵弘 Takahiro Omori,2011,8.8,触不到的恋人。
152,告白,中岛哲也 Tetsuya Nakashima,2010,8.8,没有一人完全善，也没有一人完全恶。
153,七武士,黑泽明 Akira Kurosawa,1954,9.3,
154,头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.6,写给影迷，动漫迷和游戏迷的一封情书。
155,玛丽和麦克斯,亚当·艾略特 Adam Elliot,2009,9.0,你是我最好的朋友，你是我唯一的朋友 。
156,机器人之梦,巴勃罗·贝格尔 Pablo Berger,2023,9.1,
157,模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
158,惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,
159,心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,
160,大鱼,蒂姆·波顿 Tim Burton,2003,8.8,
161,背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,
162,你的名字。,新海诚 Makoto Shinkai,2016,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
164,射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,
165,末路狂花,雷德利·斯科特 Ridley Scott,1991,9.0,
166,我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,
167,高山下的花环,谢晋 Jin Xie,1984,9.5,
168,阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。
169,黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,
170,恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,恐怖分子的“秋菊打官司”。
171,小丑,托德·菲利普斯 Todd Phillips,2019,8.7,
172,谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.9,像吃了苏打饼一样干脆的电影。
173,三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,怼天怼地，你走后，她与世界为敌。
174,无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003,8.8,
175,电锯惊魂,詹姆斯·温 James Wan,2004,8.7,真相就在眼前。
176,达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,Jared Leto的腿比女人还美！
177,疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,老少皆宜，这就是好莱坞动画的魅力。
178,疯狂的石头,宁浩 Hao Ning,2006,8.6,中国版《两杆大烟枪》。
179,绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,
180,爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
181,雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,
182,2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,
183,海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,是枝裕和的家庭习作。
184,上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,9.0,
185,心迷宫,忻钰坤 Yukun Xin,2014,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
186,风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,
187,记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,
188,英雄本色,吴宇森 John Woo,1986,8.6,
189,纵横四海,吴宇森 John Woo,1991,8.8,
190,恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,不要企图在重复中寻找已经失去的爱。
191,无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,迪士尼和皮克斯拿错剧本的产物。
192,芙蓉镇,谢晋 Jin Xie,1987,9.3,
193,卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,当这个世界闭上双眼，他却敞开了怀抱。
194,魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,
195,牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,
196,小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,我们组成了家。
197,东京教父,今敏 Satoshi Kon,2003,9.0,
198,冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.7,
199,忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,9.2,
200,岁月神偷,罗启锐 Alex Law,2010,8.7,岁月流逝，来日可追。
201,遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,用剩余不多的时间，去燃烧整个生命。
202,大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
203,白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,
204,花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,
205,源代码,邓肯·琼斯 Duncan Jones,2011,8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
206,荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.7,始于荒诞，止于更荒诞。
207,爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,
208,疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
209,可可西里,陆川 Chuan Lu,2004,8.9,坚硬的信仰。
210,你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,感情不分食草或者食肉。
211,波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,
212,贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
213,城市之光,查理·卓别林 Charles Chaplin,1931,9.3,
214,大红灯笼高高挂,张艺谋 Yimou Zhang,1991,8.8,
215,哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.6,最忠于原著的一部。
216,无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。
217,爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
218,终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,
219,青蛇,徐克 Hark Tsui,1993,8.6,
220,东邪西毒,王家卫 Kar Wai Wong,1994,8.6,
221,黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,黑暗之美。
222,新龙门客栈,李惠民 Raymond Lee,1992,8.7,
223,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,8.5,黑小鸭速效美白记。
224,千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,
225,人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,
226,崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,
227,虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,
228,雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,
229,彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.6,小成本大魅力。
230,哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,8.6,
231,罗生门,黑泽明 Akira Kurosawa,1950,8.8,
232,海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,我们都有权利不与自己的过去和解。
233,火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,
234,恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
235,真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.5,
236,冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,8.5,
237,黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,
238,步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
239,蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018,8.6,
240,千年女优,今敏 Satoshi Kon,2001,8.8,
241,奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,世界不完美，爱会有奇迹。
242,谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,谁说王家卫镜头很晃？
243,战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,做一颗让别人需要你的棋子。
244,攻壳机动队,押井守 Mamoru Oshii,1995,9.0,
245,血钻,爱德华·兹威克 Edward Zwick,2006,8.7,每个美丽事物背后都是滴血的现实。
246,小姐,朴赞郁 Chan-wook Park,2016,8.5,
247,血观音,杨雅喆 Ya-che Yang,2017,8.6,
248,隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,8.9,
249,魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,
250,房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.7,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
